timestamp,instance_type,az_name,price
2025-08-08T12:02:04Z,g5.xlarge,us-east-1b,0.448
2025-08-08T12:02:55Z,p3.2xlarge,us-east-1a,0.7442
2025-08-08T13:31:40Z,g4dn.xlarge,us-west-2a,0.2247
2025-08-08T13:47:19Z,p3.2xlarge,us-west-2a,0.9245
2025-08-08T14:31:41Z,g4dn.xlarge,us-east-1a,0.2142
2025-08-08T15:01:58Z,g5.xlarge,us-west-2a,0.5128
2025-08-08T16:16:54Z,g5.xlarge,us-east-1a,0.4245
2025-08-08T16:46:39Z,g4dn.xlarge,us-east-1b,0.2224
2025-08-08T17:46:56Z,g5.xlarge,us-east-1b,0.4493
2025-08-08T17:47:16Z,p3.2xlarge,us-east-1b,0.9054
2025-08-08T18:16:28Z,g4dn.xlarge,us-west-2a,0.2224
2025-08-08T18:16:29Z,p3.2xlarge,us-east-1a,0.7494
2025-08-08T20:31:47Z,g5.xlarge,us-east-1a,0.4252
2025-08-08T20:48:09Z,g4dn.xlarge,us-east-1a,0.2132
2025-08-08T22:31:36Z,g4dn.xlarge,us-west-2a,0.2203
2025-08-08T22:47:49Z,p3.2xlarge,us-west-2a,0.9326
2025-08-08T23:47:04Z,g5.xlarge,us-west-2a,0.5153
2025-08-09T01:17:29Z,p3.2xlarge,us-east-1a,0.7536
2025-08-09T01:46:42Z,g4dn.xlarge,us-east-1b,0.2232
2025-08-09T01:47:02Z,g5.xlarge,us-east-1a,0.4245
2025-08-09T01:47:54Z,p3.2xlarge,us-east-1b,0.9123
2025-08-09T02:16:38Z,g4dn.xlarge,us-east-1a,0.2145
2025-08-09T02:31:47Z,g5.xlarge,us-east-1b,0.4463
2025-08-09T05:47:07Z,p3.2xlarge,us-west-2a,0.9336
2025-08-09T07:16:43Z,g4dn.xlarge,us-east-1b,0.224
2025-08-09T07:17:34Z,g5.xlarge,us-west-2a,0.5101
2025-08-09T07:31:31Z,g4dn.xlarge,us-west-2a,0.22
2025-08-09T08:16:44Z,g5.xlarge,us-east-1a,0.4206
2025-08-09T09:02:01Z,p3.2xlarge,us-east-1a,0.7586
